Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,2503.782959,2220.416504,78.697678,-1.195056,-0.153703,13.143535,0.598906,3.917834,9.382360,11.922519,-12.041507,-1.199221,-2.702163,-3.861878,-16.164480,9.515360,-5.595146,1.356734,-2.599125,0.143025,0.579602,-5.880459,11.820756,-42.306881,74.045227,22.688284,19.930281,-8.620152,-9.984632,-7.862210,30.457951,69.681992,1.570590,6.189730,2.599522
1.000000,2503.782227,2220.415527,78.697609,-1.194102,-0.156113,13.143892,0.601784,3.915270,9.380967,11.920471,-12.041008,-1.197733,-2.700990,-3.861051,-16.163647,9.519217,-5.599016,1.355609,-2.599760,0.140123,0.581062,-5.880607,11.820604,-42.308872,74.049370,22.690735,19.930817,-8.625077,-9.985801,-7.860756,30.457188,69.684151,1.575082,6.186346,2.603058
2.000000,2503.781250,2220.414062,78.697517,-1.192667,-0.159659,13.144306,0.605596,3.911679,9.379171,11.917893,-12.040137,-1.195764,-2.699308,-3.859942,-16.162336,9.524215,-5.604202,1.353740,-2.600535,0.135955,0.583293,-5.880858,11.820517,-42.311577,74.055084,22.694162,19.931393,-8.631828,-9.987405,-7.858719,30.456133,69.687019,1.581155,6.181691,2.607850
3.000000,2503.780273,2220.412842,78.697556,-1.192637,-0.160230,13.143194,0.606049,3.909703,9.377258,11.916150,-12.039865,-1.194638,-2.698959,-3.856253,-16.158922,9.523636,-5.605383,1.351430,-2.601832,0.133925,0.584791,-5.880535,11.820530,-42.312920,74.058876,22.699165,19.931824,-8.638078,-9.988793,-7.856791,30.453848,69.690346,1.583400,6.176219,2.612068
4.000000,2503.778809,2220.411377,78.697784,-1.193468,-0.156482,13.139715,0.601541,3.908826,9.375473,11.914480,-12.039856,-1.193636,-2.700190,-3.848586,-16.152281,9.513022,-5.600916,1.348221,-2.604158,0.133681,0.586051,-5.879795,11.820602,-42.313148,74.061096,22.707336,19.932419,-8.645069,-9.990150,-7.854584,30.449747,69.694519,1.581848,6.168533,2.616145
5.000000,2503.778076,2220.410156,78.697899,-1.192829,-0.153680,13.136417,0.598209,3.906602,9.374791,11.912681,-12.039286,-1.191757,-2.701766,-3.843662,-16.147194,9.506163,-5.599168,1.345337,-2.605947,0.132357,0.588191,-5.879716,11.820457,-42.314175,74.063622,22.714304,19.933243,-8.651544,-9.991539,-7.852795,30.446671,69.697182,1.582296,6.162259,2.619225
6.000000,2503.778564,2220.409180,78.697807,-1.191437,-0.153864,13.135169,0.598492,3.904071,9.374111,11.911837,-12.038925,-1.190024,-2.702127,-3.842292,-16.145153,9.507561,-5.601844,1.343198,-2.606632,0.130469,0.589554,-5.879850,11.820102,-42.315842,74.066559,22.717991,19.933983,-8.656445,-9.992571,-7.851599,30.445393,69.698586,1.585289,6.159172,2.621492
7.000000,2503.779297,2220.408447,78.697655,-1.190284,-0.154982,13.134928,0.600067,3.900914,9.372718,11.911444,-12.038641,-1.188002,-2.701873,-3.840885,-16.143276,9.512281,-5.607018,1.340178,-2.607038,0.127254,0.590531,-5.879787,11.819566,-42.318531,74.071304,22.721720,19.935129,-8.663226,-9.993841,-7.849789,30.444326,69.700455,1.591122,6.156323,2.624826
8.000000,2503.780762,2220.407959,78.697517,-1.189550,-0.156224,13.135097,0.601920,3.898248,9.371167,11.911234,-12.038386,-1.186512,-2.701398,-3.839568,-16.141874,9.517594,-5.612043,1.337513,-2.607293,0.124182,0.591205,-5.879601,11.819060,-42.321163,74.076004,22.724478,19.936174,-8.669588,-9.995051,-7.848021,30.443586,69.702385,1.597210,6.154085,2.628160
9.000000,2503.781982,2220.407959,78.697411,-1.189064,-0.157454,13.135408,0.604153,3.895290,9.369364,11.910769,-12.038030,-1.185030,-2.700756,-3.838001,-16.140419,9.523564,-5.617386,1.334679,-2.607646,0.121015,0.592168,-5.879382,11.818460,-42.324226,74.081474,22.727272,19.937204,-8.676912,-9.996551,-7.846066,30.442783,69.704834,1.604198,6.151387,2.632157
10.000000,2503.782959,2220.408203,78.697357,-1.188727,-0.158628,13.135853,0.606077,3.892475,9.367597,11.910194,-12.037476,-1.183547,-2.700128,-3.836556,-16.139277,9.528678,-5.621656,1.332190,-2.608081,0.118579,0.593311,-5.879226,11.817877,-42.327126,74.086510,22.729523,19.937969,-8.683857,-9.998038,-7.844417,30.442005,69.707329,1.610477,6.148513,2.636088
11.000000,2503.783691,2220.408447,78.697319,-1.188428,-0.159677,13.136240,0.607747,3.889545,9.365907,11.909508,-12.036980,-1.181786,-2.699685,-3.835182,-16.138140,9.533421,-5.625456,1.329942,-2.608575,0.116453,0.594468,-5.879086,11.817259,-42.330029,74.091461,22.731634,19.938633,-8.690829,-9.999564,-7.842894,30.441223,69.709885,1.616612,6.145475,2.640125
12.000000,2503.784424,2220.408936,78.697289,-1.188086,-0.160685,13.136414,0.609289,3.886500,9.364459,11.908641,-12.036520,-1.179720,-2.699450,-3.833875,-16.136856,9.537897,-5.628963,1.327952,-2.609044,0.114333,0.595550,-5.878948,11.816644,-42.332943,74.096375,22.733795,19.939238,-8.697810,-10.001105,-7.841399,30.440477,69.712471,1.622695,6.142359,2.644246
