Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-1805.879639,-670.653137,78.554375,-2.098830,0.283068,-102.707525,4.471142,4.310012,9.188214,9.356349,-13.831490,-1.417421,-5.451589,-2.956538,-19.792418,8.138315,-1.917467,-0.258884,0.080834,1.019368,0.481165,-2.557211,14.313734,-34.277977,63.451225,-3.043082,-1.225765,0.627636,-2.880295,-13.792558,36.232780,65.921394,11.075345,-4.166053,-14.065118
1.000000,-1805.879761,-670.653137,78.554428,-2.098513,0.282850,-102.707772,4.470532,4.308052,9.187836,9.356412,-13.830976,-1.415708,-5.450443,-2.954657,-19.791538,8.138753,-1.919664,-0.260504,0.081124,1.019671,0.481146,-2.557090,14.313137,-34.276279,63.451527,-3.043042,-1.225879,0.626666,-2.881121,-13.791493,36.233013,65.923012,11.074954,-4.166337,-14.063020
2.000000,-1805.880005,-670.653137,78.554489,-2.098195,0.282651,-102.708015,4.469913,4.306086,9.187447,9.356476,-13.830471,-1.413983,-5.449291,-2.952768,-19.790667,8.139184,-1.921896,-0.262139,0.081415,1.019965,0.481132,-2.556971,14.312542,-34.274570,63.451820,-3.043002,-1.225999,0.625690,-2.881951,-13.790422,36.233246,65.924644,11.074560,-4.166621,-14.060912
3.000000,-1805.880127,-670.653137,78.554543,-2.097879,0.282469,-102.708244,4.469453,4.304647,9.187157,9.356521,-13.830109,-1.412721,-5.448448,-2.951381,-19.790033,8.139500,-1.923540,-0.263335,0.081628,1.020176,0.481124,-2.556885,14.312107,-34.273315,63.452045,-3.042975,-1.226090,0.624974,-2.882560,-13.789639,36.233418,65.925835,11.074272,-4.166829,-14.059369
4.000000,-1805.880371,-670.653198,78.554604,-2.097571,0.282310,-102.708463,4.468818,4.302684,9.186752,9.356582,-13.829623,-1.410998,-5.447298,-2.949483,-19.789181,8.139925,-1.925800,-0.264961,0.081919,1.020459,0.481116,-2.556768,14.311514,-34.271595,63.452339,-3.042938,-1.226218,0.623996,-2.883392,-13.788566,36.233650,65.927467,11.073877,-4.167114,-14.057261
5.000000,-1805.880493,-670.653259,78.554657,-2.097268,0.282172,-102.708683,4.468185,4.300752,9.186346,9.356637,-13.829156,-1.409302,-5.446167,-2.947610,-19.788353,8.140340,-1.928039,-0.266554,0.082205,1.020732,0.481111,-2.556656,14.310932,-34.269901,63.452633,-3.042902,-1.226349,0.623034,-2.884213,-13.787508,36.233875,65.929077,11.073490,-4.167393,-14.055192
6.000000,-1805.880737,-670.653320,78.554710,-2.096974,0.282056,-102.708884,4.467550,4.298840,9.185935,9.356689,-13.828706,-1.407620,-5.445048,-2.945754,-19.787540,8.140747,-1.930269,-0.268123,0.082488,1.020996,0.481109,-2.556545,14.310357,-34.268219,63.452927,-3.042866,-1.226483,0.622081,-2.885026,-13.786459,36.234100,65.930664,11.073106,-4.167669,-14.053144
7.000000,-1805.880981,-670.653442,78.554764,-2.096699,0.281966,-102.709070,4.466901,4.296910,9.185513,9.356745,-13.828264,-1.405912,-5.443920,-2.943883,-19.786732,8.141148,-1.932538,-0.269711,0.082774,1.021252,0.481106,-2.556435,14.309781,-34.266521,63.453220,-3.042832,-1.226622,0.621118,-2.885845,-13.785400,36.234325,65.932266,11.072716,-4.167947,-14.051075
8.000000,-1805.881104,-670.653564,78.554810,-2.096426,0.281895,-102.709252,4.466251,4.295002,9.185086,9.356798,-13.827843,-1.404219,-5.442804,-2.942031,-19.785938,8.141539,-1.934792,-0.271274,0.083056,1.021497,0.481104,-2.556327,14.309213,-34.264839,63.453518,-3.042798,-1.226765,0.620164,-2.886656,-13.784352,36.234547,65.933853,11.072330,-4.168221,-14.049029
9.000000,-1805.881348,-670.653748,78.554863,-2.096165,0.281844,-102.709420,4.465759,4.293573,9.184760,9.356838,-13.827537,-1.402946,-5.441968,-2.940641,-19.785353,8.141829,-1.936486,-0.272437,0.083268,1.021677,0.481101,-2.556246,14.308788,-34.263577,63.453739,-3.042773,-1.226873,0.619450,-2.887263,-13.783566,36.234715,65.935043,11.072041,-4.168425,-14.047496
10.000000,-1805.881470,-670.653931,78.554909,-2.095909,0.281813,-102.709584,4.465100,4.291678,9.184321,9.356891,-13.827142,-1.401255,-5.440861,-2.938797,-19.784582,8.142210,-1.938738,-0.273967,0.083548,1.021909,0.481097,-2.556140,14.308227,-34.261906,63.454033,-3.042741,-1.227021,0.618503,-2.888068,-13.782520,36.234932,65.936623,11.071655,-4.168695,-14.045465
11.000000,-1805.881470,-670.654114,78.554962,-2.095672,0.281803,-102.709728,4.464437,4.289791,9.183875,9.356940,-13.826763,-1.399567,-5.439758,-2.936957,-19.783827,8.142586,-1.940990,-0.275477,0.083828,1.022133,0.481091,-2.556034,14.307669,-34.260231,63.454327,-3.042706,-1.227170,0.617559,-2.888870,-13.781477,36.235157,65.938202,11.071270,-4.168962,-14.043444
