Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,-1984.988037,1235.188232,78.115150,1.589303,-0.846708,14.530094,-10.440237,-0.515417,5.025771,13.908747,-2.566353,0.659830,7.683300,-5.362525,-24.173147,10.459816,-15.974160,2.306157,2.702644,0.705739,0.127715,-0.193727,16.924509,-38.348583,60.605373,15.224522,10.665987,1.483403,2.539792,-15.499719,38.009850,65.571098,-13.019058,11.840019,-9.853324
1.000000,-1984.982056,1235.186646,78.114601,1.592940,-0.839449,14.536126,-10.446598,-0.520180,5.032435,13.911583,-2.571747,0.662312,7.676503,-5.358537,-24.165815,10.463382,-15.982471,2.299823,2.699295,0.706258,0.130124,-0.188740,16.921680,-38.342731,60.605438,15.212296,10.673893,1.493820,2.538119,-15.497499,38.003906,65.568329,-13.030901,11.847328,-9.846003
2.000000,-1984.974609,1235.187378,78.114456,1.597949,-0.835707,14.527609,-10.442009,-0.522300,5.051231,13.912661,-2.582750,0.664389,7.672732,-5.356759,-24.145176,10.465697,-15.987561,2.293027,2.687435,0.708841,0.131439,-0.176156,16.918110,-38.338558,60.604683,15.199069,10.680456,1.520101,2.536134,-15.495492,37.996422,65.565880,-13.041986,11.852355,-9.840308
3.000000,-1984.966797,1235.189697,78.114563,1.602985,-0.834351,14.509545,-10.430907,-0.522407,5.078334,13.914060,-2.596815,0.667888,7.670513,-5.356290,-24.114611,10.467916,-15.991661,2.287553,2.664990,0.713533,0.131568,-0.157449,16.914000,-38.335018,60.604294,15.185205,10.685960,1.556331,2.533847,-15.493817,37.984890,65.562889,-13.052940,11.855851,-9.835465
4.000000,-1984.959229,1235.191895,78.114410,1.606528,-0.831264,14.497060,-10.425079,-0.523004,5.099098,13.919432,-2.609453,0.672411,7.667792,-5.355029,-24.091385,10.470732,-15.997182,2.284668,2.642411,0.716869,0.131807,-0.141826,16.910519,-38.330864,60.605480,15.171999,10.691179,1.586581,2.532085,-15.492248,37.975815,65.559441,-13.064056,11.859433,-9.830299
5.000000,-1984.953125,1235.192505,78.113960,1.608215,-0.825636,14.496038,-10.426396,-0.524255,5.107296,13.923975,-2.616131,0.675518,7.664370,-5.352291,-24.082285,10.473172,-16.002239,2.283044,2.636308,0.717340,0.133717,-0.136497,16.908112,-38.327076,60.606895,15.162462,10.694740,1.602529,2.531399,-15.490805,37.971638,65.557114,-13.072816,11.863114,-9.825267
6.000000,-1984.948364,1235.192017,78.113380,1.609497,-0.817359,14.502792,-10.433455,-0.527203,5.113019,13.929038,-2.622261,0.678758,7.657441,-5.347237,-24.075178,10.476399,-16.009281,2.279774,2.634042,0.717197,0.137078,-0.131537,16.905005,-38.321384,60.608349,15.149780,10.699049,1.621945,2.529934,-15.488809,37.966480,65.554100,-13.085006,11.868934,-9.817616
7.000000,-1984.944580,1235.191040,78.112755,1.611184,-0.807379,14.513267,-10.444731,-0.531746,5.115673,13.933077,-2.625876,0.681586,7.647951,-5.342339,-24.071026,10.479493,-16.016272,2.275302,2.633058,0.717122,0.139877,-0.126982,16.902058,-38.315575,60.609264,15.137606,10.703341,1.638282,2.528032,-15.486981,37.961388,65.551178,-13.097030,11.874982,-9.809930
8.000000,-1984.940918,1235.190063,78.112137,1.613630,-0.797200,14.524973,-10.456955,-0.537993,5.117888,13.936149,-2.628444,0.684914,7.637683,-5.338182,-24.067385,10.482692,-16.023863,2.269838,2.631796,0.717387,0.142169,-0.122335,16.899002,-38.309521,60.609783,15.125295,10.708562,1.650797,2.526066,-15.485151,37.955898,65.548378,-13.109375,11.881450,-9.802009
9.000000,-1984.936890,1235.189331,78.111526,1.616617,-0.787977,14.536863,-10.466785,-0.544787,5.120494,13.938309,-2.630808,0.688625,7.629289,-5.334920,-24.063713,10.485719,-16.031336,2.264414,2.630097,0.717850,0.144131,-0.117861,16.896009,-38.303776,60.610058,15.113777,10.714272,1.660071,2.524368,-15.483358,37.950520,65.545944,-13.121003,11.887722,-9.794536
