Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,118.007431,-65.289619,78.692482,0.375219,1.036712,5.026812,-2.471363,1.441200,6.507714,10.272358,-8.639441,-0.556177,2.203785,-4.709317,-18.297474,8.202705,-10.265720,2.221962,0.575542,0.950362,0.396229,-2.709983,14.855473,-36.520126,63.964233,-8.146895,-3.499963,5.589838,-1.659768,-15.243703,39.758636,64.944557,12.782586,-3.589105,-15.713078
1.000000,118.007324,-65.289551,78.692444,0.373578,1.037121,5.033708,-2.472828,1.440903,6.499405,10.272248,-8.639404,-0.556616,2.204988,-4.708425,-18.306746,8.202693,-10.266969,2.220765,0.573557,0.945354,0.396326,-2.709411,14.856239,-36.518864,63.966652,-8.147373,-3.500933,5.587562,-1.659405,-15.242572,39.758629,64.943413,12.781886,-3.589529,-15.713387
2.000000,118.007072,-65.290436,78.692451,0.372727,1.038157,5.047644,-2.476827,1.439366,6.485802,10.271939,-8.637756,-0.557084,2.207151,-4.708158,-18.321318,8.202522,-10.268593,2.219687,0.575278,0.938951,0.397047,-2.708616,14.857867,-36.516674,63.968025,-8.148767,-3.503383,5.586500,-1.659428,-15.241040,39.759094,64.942879,12.780543,-3.588873,-15.712916
3.000000,118.006790,-65.291496,78.692459,0.372853,1.039890,5.063171,-2.482507,1.436556,6.470726,10.272015,-8.635238,-0.557264,2.209335,-4.708816,-18.337154,8.201745,-10.270234,2.218725,0.577368,0.934693,0.397616,-2.707736,14.859414,-36.514507,63.968346,-8.150708,-3.506067,5.586324,-1.659682,-15.239806,39.759476,64.942848,12.779008,-3.587985,-15.711970
4.000000,118.006638,-65.292702,78.692429,0.373929,1.041895,5.078028,-2.488470,1.432858,6.456701,10.272202,-8.632465,-0.557114,2.211126,-4.710262,-18.351534,8.200691,-10.272348,2.217913,0.578706,0.932959,0.397856,-2.706853,14.860643,-36.512730,63.967819,-8.152827,-3.508281,5.586712,-1.659991,-15.238951,39.759609,64.943176,12.777408,-3.587329,-15.710780
5.000000,118.006805,-65.294380,78.692337,0.375511,1.043967,5.092118,-2.493896,1.429031,6.443683,10.272106,-8.629656,-0.556944,2.212759,-4.711904,-18.364796,8.199821,-10.275269,2.217249,0.579405,0.931812,0.397953,-2.706091,14.861854,-36.511158,63.966850,-8.154836,-3.510056,5.587349,-1.660210,-15.238081,39.759628,64.943604,12.775576,-3.586966,-15.709489
6.000000,118.007324,-65.296494,78.692230,0.377144,1.045997,5.104685,-2.498644,1.425647,6.431480,10.271639,-8.626927,-0.556861,2.214258,-4.713244,-18.377302,8.199310,-10.278758,2.216582,0.579641,0.930280,0.397976,-2.705428,14.863100,-36.509693,63.965755,-8.156668,-3.511506,5.588123,-1.660353,-15.237079,39.759586,64.944084,12.773650,-3.586860,-15.708123
7.000000,118.008316,-65.299240,78.692085,0.378996,1.048238,5.116933,-2.502879,1.422773,6.419899,10.270865,-8.624223,-0.557055,2.215571,-4.714224,-18.389225,8.199244,-10.282742,2.215869,0.579677,0.927441,0.397864,-2.704859,14.864501,-36.508217,63.964745,-8.158272,-3.512790,5.588968,-1.660398,-15.235795,39.759632,64.944580,12.771855,-3.586879,-15.706637
8.000000,118.009674,-65.302429,78.691933,0.380904,1.050609,5.128326,-2.506485,1.420651,6.409950,10.270554,-8.622074,-0.557584,2.216708,-4.714701,-18.399117,8.199441,-10.286450,2.215266,0.579856,0.923528,0.397655,-2.704595,14.865928,-36.507080,63.963795,-8.158847,-3.513809,5.589761,-1.660362,-15.234393,39.759945,64.945091,12.770617,-3.586854,-15.705194
9.000000,118.011284,-65.304253,78.691788,0.381735,1.050877,5.131717,-2.508374,1.420071,6.405299,10.273462,-8.622704,-0.557821,2.217981,-4.714081,-18.401537,8.199407,-10.287450,2.215157,0.580300,0.922224,0.397639,-2.705264,14.866245,-36.507874,63.962486,-8.155421,-3.513623,5.590390,-1.660551,-15.233968,39.760799,64.945694,12.771264,-3.586686,-15.704397
