Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0.000000,3208.446777,2455.366455,78.654846,-1.459243,-0.119344,-118.466544,1.301116,2.867380,9.047860,11.806809,-12.883484,-0.066439,-4.064913,-2.212436,-15.634544,9.342443,-4.530636,-0.216525,-3.247043,0.334408,0.557611,-5.477124,11.777400,-43.036358,73.795471,23.064358,20.484352,-10.025344,-10.656914,-7.120743,30.275932,70.442062,2.656877,5.292927,3.048671
1.000000,3208.445312,2455.362793,78.654900,-1.461838,-0.121865,-118.459811,1.305022,2.868899,9.041528,11.807628,-12.883853,-0.067744,-4.061887,-2.212994,-15.642804,9.350648,-4.534154,-0.218314,-3.249082,0.332982,0.556049,-5.476665,11.778523,-43.038322,73.797157,23.050320,20.487194,-10.025655,-10.657109,-7.118106,30.277735,70.443726,2.658831,5.295235,3.044941
2.000000,3208.443359,2455.360840,78.654945,-1.463341,-0.125549,-118.453006,1.310219,2.870223,9.034098,11.808269,-12.883957,-0.068885,-4.058315,-2.214086,-15.652082,9.361234,-4.538947,-0.219632,-3.250969,0.331475,0.554810,-5.476062,11.779497,-43.040611,73.798439,23.035297,20.491497,-10.025703,-10.657517,-7.115300,30.279753,70.445404,2.661301,5.298480,3.040151
3.000000,3208.441162,2455.359863,78.654999,-1.464021,-0.130115,-118.446293,1.315938,2.871290,9.026849,11.808187,-12.883617,-0.069822,-4.054517,-2.215286,-15.661114,9.371517,-4.543772,-0.220290,-3.252933,0.329964,0.554139,-5.475414,11.780221,-43.042912,73.799355,23.021481,20.496674,-10.025527,-10.658092,-7.112575,30.281626,70.446854,2.663899,5.302107,3.034838
4.000000,3208.437988,2455.360107,78.655037,-1.463952,-0.135279,-118.439647,1.320741,2.872056,9.020910,11.807668,-12.883118,-0.070556,-4.051162,-2.216213,-15.668525,9.379181,-4.547852,-0.220630,-3.254714,0.328561,0.553811,-5.474860,11.780715,-43.044804,73.800026,23.010748,20.501461,-10.025302,-10.658611,-7.110256,30.283113,70.447906,2.666139,5.305361,3.030048
5.000000,3208.435059,2455.361816,78.655067,-1.463159,-0.141042,-118.433210,1.326827,2.872936,9.013454,11.806626,-12.882144,-0.071579,-4.046648,-2.217249,-15.677768,9.387850,-4.553090,-0.221130,-3.257066,0.326308,0.553639,-5.474167,11.781322,-43.047127,73.800903,22.997990,20.507914,-10.024961,-10.659259,-7.107151,30.284971,70.449059,2.669080,5.309687,3.023589
6.000000,3208.431641,2455.365234,78.655060,-1.461673,-0.147867,-118.426785,1.332847,2.873705,9.006259,11.805342,-12.880774,-0.072733,-4.041828,-2.218116,-15.686522,9.395256,-4.558306,-0.221768,-3.259211,0.323063,0.553735,-5.473518,11.781972,-43.049114,73.801941,22.986851,20.514614,-10.024524,-10.659792,-7.103805,30.286741,70.449989,2.672048,5.314145,3.016895
7.000000,3208.428955,2455.369141,78.655067,-1.459382,-0.152416,-118.422768,1.336570,2.874104,9.001106,11.804667,-12.879435,-0.073209,-4.037953,-2.218696,-15.692555,9.398829,-4.561768,-0.221575,-3.260011,0.319609,0.553828,-5.473053,11.782112,-43.049252,73.802818,22.981947,20.520391,-10.023843,-10.659999,-7.101159,30.287560,70.450615,2.673975,5.318122,3.011475
8.000000,3208.427490,2455.374023,78.655045,-1.456602,-0.154367,-118.421981,1.335840,2.873877,9.000285,11.804891,-12.878792,-0.072657,-4.036635,-2.218799,-15.693419,9.395886,-4.561776,-0.219901,-3.259152,0.317616,0.554197,-5.472950,11.781213,-43.046543,73.803268,22.987183,20.523552,-10.022895,-10.659948,-7.100360,30.286608,70.450691,2.673794,5.320543,3.008902
9.000000,3208.427002,2455.378906,78.654984,-1.454040,-0.155610,-118.422837,1.334267,2.873643,9.001298,11.805135,-12.878410,-0.072645,-4.036252,-2.218578,-15.692306,9.391575,-4.560968,-0.218880,-3.258521,0.316393,0.554768,-5.472962,11.780341,-43.043697,73.803848,22.994335,20.524786,-10.022225,-10.659846,-7.100125,30.285303,70.450516,2.672873,5.321674,3.007693
