t,dq_left_hip_pitch_joint,dq_left_hip_roll_joint,dq_left_hip_yaw_joint,dq_left_knee_joint,dq_left_ankle_pitch_joint,dq_left_ankle_roll_joint,dq_right_hip_pitch_joint,dq_right_hip_roll_joint,dq_right_hip_yaw_joint,dq_right_knee_joint,dq_right_ankle_pitch_joint,dq_right_ankle_roll_joint,dq_waist_yaw_joint,dq_waist_pitch_joint,dq_waist_roll_joint,dq_left_shoulder_pitch_joint,dq_left_shoulder_roll_joint,dq_left_shoulder_yaw_joint,dq_left_elbow_joint,dq_left_wrist_yaw_joint,dq_left_wrist_pitch_joint,dq_left_wrist_roll_joint,dq_right_shoulder_pitch_joint,dq_right_shoulder_roll_joint,dq_right_shoulder_yaw_joint,dq_right_elbow_joint,dq_right_wrist_yaw_joint,dq_right_wrist_pitch_joint,dq_right_wrist_roll_joint,dq_head_yaw_joint,dq_head_pitch_joint
8003.935449,-0.006105,0.006105,-0.006105,-0.518925,0.457876,-0.091576,0.140415,-0.030525,-0.006105,-0.702076,0.628815,0.115995,0.006105,0.230273,0.187515,-0.360195,0.225885,-0.494505,0.006105,-0.091576,0.065933,-0.007326,-0.042734,-0.140415,0.189255,0.006105,0.006105,0.036631,-0.065933,0.003069,0.000000
8003.955526,-0.018314,-0.006105,-0.018314,-0.445665,0.421246,-0.091576,0.189255,-0.042734,-0.018314,-0.738707,0.579975,0.103785,0.006105,0.230273,0.187515,-0.360195,0.225885,-0.494505,0.006105,-0.091576,0.065933,-0.007326,-0.042734,-0.140415,0.189255,0.006105,0.006105,0.036631,-0.065933,0.003069,0.000000
8003.975439,-0.018314,-0.030525,-0.018314,-0.506716,0.555555,-0.030525,0.189255,-0.067156,-0.042734,-0.763126,0.604395,0.128204,-0.018314,0.290428,0.051965,-0.347986,-0.018314,-0.299145,-0.042734,-0.042734,0.065933,-0.007326,0.018314,-0.152626,0.250305,0.006105,0.054945,0.051283,-0.021978,-0.009206,0.000000
8003.995463,-0.103785,-0.030525,-0.030525,-0.384615,0.384615,0.006105,0.128204,-0.054945,-0.018314,-0.714285,0.592186,0.152626,-0.006105,0.194888,0.150164,-0.201466,-0.067156,-0.323565,-0.006105,-0.042734,0.036631,-0.007326,-0.115995,-0.128204,0.299145,-0.042734,0.042734,0.080585,-0.021978,0.009206,0.000000
8004.016780,-0.140415,-0.067156,-0.006105,-0.433455,0.335775,0.006105,0.054945,-0.079365,-0.006105,-0.665445,0.445665,0.189255,-0.018314,0.117811,0.136378,-0.079365,-0.079365,-0.335775,-0.006105,-0.079365,0.051283,-0.007326,-0.030525,-0.128204,0.335775,0.006105,0.054945,0.036631,-0.036631,-0.003069,0.000000
8004.035499,-0.128204,-0.103785,0.006105,-0.384615,0.323565,0.006105,0.006105,-0.115995,-0.006105,-0.494505,0.347986,0.238094,-0.018314,0.077052,0.111629,-0.042734,0.006105,-0.616606,-0.006105,-0.054945,0.021978,-0.007326,0.006105,-0.079365,0.323565,0.006105,0.079365,0.095238,-0.036631,-0.009206,0.000000
8004.055559,-0.067156,-0.164835,0.006105,-0.409035,0.396826,-0.006105,0.006105,-0.177046,-0.030525,-0.396826,0.335775,0.274725,-0.054945,0.058912,0.122260,0.006105,-0.006105,-0.347986,0.006105,-0.018314,0.080585,-0.007326,0.018314,-0.006105,0.262516,0.006105,0.042734,0.095238,-0.036631,-0.009206,0.000000
8004.075521,0.006105,-0.164835,-0.006105,-0.372406,0.201466,-0.006105,0.018314,-0.201466,-0.006105,-0.299145,0.225885,0.262516,-0.054945,0.077147,0.173575,0.018314,-0.006105,-0.274725,0.018314,-0.030525,0.109890,-0.007326,0.018314,-0.006105,0.335775,0.006105,0.042734,0.095238,-0.051283,0.003069,0.000000
8004.096696,-0.006105,-0.152626,-0.018314,-0.347986,0.213675,0.006105,0.006105,-0.213675,0.006105,-0.238094,0.189255,0.189255,-0.054945,0.104587,0.204516,-0.006105,-0.006105,-0.274725,0.018314,-0.006105,0.109890,-0.007326,0.006105,-0.006105,0.335775,0.006105,0.018314,0.080585,-0.065933,-0.003069,0.000000
8004.115476,0.018314,-0.177046,-0.042734,-0.311356,0.250305,-0.030525,0.042734,-0.213675,-0.030525,-0.201466,0.177046,0.140415,-0.079365,0.068446,0.205167,-0.006105,-0.006105,-0.372406,-0.006105,-0.018314,0.095238,-0.007326,0.054945,-0.018314,0.360195,0.006105,0.042734,0.109890,-0.095238,0.003069,0.000000
8004.135525,0.018314,-0.164835,-0.042734,-0.311356,0.201466,0.006105,0.030525,-0.152626,-0.006105,-0.177046,0.164835,0.079365,-0.079365,0.023047,0.174505,-0.006105,0.006105,-0.494505,-0.006105,-0.042734,0.051283,-0.007326,0.006105,-0.006105,0.372406,0.006105,0.054945,0.095238,-0.080585,0.003069,0.000000
8004.155497,0.042734,-0.140415,-0.006105,-0.360195,0.274725,0.006105,0.030525,-0.201466,0.006105,-0.177046,0.164835,0.103785,-0.091576,-0.022690,0.040890,0.018314,-0.018314,-0.189255,-0.006105,-0.018314,0.080585,-0.007326,-0.018314,0.030525,0.347986,0.006105,0.030525,0.051283,-0.095238,0.003069,0.000000
