t,a_il_0,a_il_1,a_il_2,a_il_3,a_il_4,a_il_5,a_il_6,a_il_7,a_il_8,a_il_9,a_il_10,a_il_11,a_il_12,a_il_13,a_il_14,a_il_15,a_il_16,a_il_17,a_il_18,a_il_19,a_il_20,a_il_21,a_il_22,a_il_23,a_il_24,a_il_25,a_il_26,a_il_27,a_il_28,a_il_29,a_il_30
8003.955526,0.219051,0.775375,-0.144593,1.174781,-0.654340,0.977816,0.118778,-0.336538,0.962821,-2.029838,-1.367328,-2.089190,-0.169762,0.073557,2.629161,1.870016,-3.608845,0.057328,-0.130423,-1.214823,0.294507,-1.512432,1.376854,0.092330,-0.245898,-0.416579,0.179598,7.977726,-2.084978,2.734581,-0.826886
8003.975439,0.215295,0.834025,-0.177883,1.181223,-0.599913,0.664928,0.092658,-0.337934,0.985694,-2.097289,-1.320507,-2.182737,-0.234403,0.049738,2.420156,1.715753,-3.457896,0.055101,-0.125511,-1.206848,0.326373,-1.493187,1.344488,0.080185,-0.264615,-0.442569,0.239291,8.253636,-2.271447,2.810136,-0.972368
8003.995463,0.199392,0.890278,-0.191846,1.187684,-0.559686,0.405428,0.082591,-0.352018,0.904300,-2.159806,-1.282524,-2.221456,-0.302727,0.022475,2.235018,1.557360,-3.307310,0.074638,-0.132523,-1.213055,0.373113,-1.474236,1.314249,0.054134,-0.263954,-0.435048,0.301124,8.500405,-2.427809,2.849905,-1.154507
8004.016780,0.205059,0.948403,-0.182261,1.201900,-0.511792,0.254086,0.074232,-0.371342,0.802003,-2.249577,-1.231700,-2.233327,-0.278534,0.001372,2.050257,1.412652,-3.147190,0.059511,-0.150483,-1.240889,0.408180,-1.479398,1.291739,0.045083,-0.263309,-0.440715,0.344894,8.720498,-2.546786,2.878560,-1.354641
8004.035499,0.185763,0.990170,-0.202907,1.207178,-0.470844,0.156888,0.066392,-0.371580,0.790690,-2.291898,-1.213428,-2.232340,-0.329238,-0.005971,1.914459,1.320049,-2.987138,0.040929,-0.167433,-1.265944,0.421960,-1.477875,1.280289,0.008632,-0.244513,-0.444767,0.382119,8.937249,-2.644904,2.905109,-1.545125
8004.055559,0.198786,1.011239,-0.217105,1.189939,-0.466571,0.089091,0.056477,-0.388889,0.802308,-2.327426,-1.223201,-2.234583,-0.324796,0.024478,1.705810,1.214620,-2.843717,0.025915,-0.187433,-1.269732,0.434486,-1.481938,1.273348,0.004458,-0.212284,-0.444860,0.405423,9.146192,-2.731883,2.948497,-1.732459
8004.075521,0.211958,1.010165,-0.202912,1.152429,-0.492592,0.075143,0.036526,-0.406349,0.794010,-2.367752,-1.232334,-2.244426,-0.261776,0.039800,1.563424,1.144951,-2.706032,0.014438,-0.197586,-1.259576,0.436977,-1.494464,1.276446,0.029051,-0.200292,-0.435408,0.428621,9.355964,-2.830463,2.994913,-1.896034
8004.096696,0.224627,1.000317,-0.199442,1.125673,-0.508926,0.065886,0.023830,-0.410913,0.709616,-2.388078,-1.246357,-2.273200,-0.242815,0.032873,1.474295,1.097739,-2.555574,0.021217,-0.196518,-1.253938,0.437028,-1.500432,1.270134,0.031939,-0.201749,-0.428966,0.448131,9.570459,-2.937146,3.055924,-2.028732
8004.115476,0.235855,0.975214,-0.205752,1.103660,-0.533627,0.035901,0.028874,-0.401662,0.495905,-2.406527,-1.258379,-2.327309,-0.263384,0.027041,1.408588,1.076501,-2.395940,0.019211,-0.198570,-1.222504,0.445950,-1.503320,1.264987,0.019959,-0.190013,-0.418831,0.465550,9.783558,-3.056394,3.129097,-2.137913
8004.135525,0.240250,0.967944,-0.207394,1.068356,-0.544211,0.013231,0.038136,-0.389675,0.246921,-2.404500,-1.271203,-2.390189,-0.251336,0.044724,1.393297,1.071437,-2.223441,0.026086,-0.195937,-1.170055,0.459641,-1.512918,1.270670,0.034760,-0.173019,-0.402914,0.467227,10.006392,-3.188004,3.202237,-2.208553
