t,qw,qx,qy,qz,wx,wy,wz
8005.075460,-0.449885,0.025386,0.018918,0.892525,-0.020557,0.103404,-0.093937
8005.095475,-0.449355,0.024838,0.018505,0.892816,-0.005888,0.052421,-0.021638
8005.115433,-0.449347,0.024469,0.018328,0.892834,0.013263,0.039993,0.017561
8005.135399,-0.449654,0.024152,0.018230,0.892690,0.014514,0.054515,0.048808
8005.155502,-0.450078,0.023776,0.018007,0.892491,-0.005440,0.061958,0.029556
8005.175556,-0.450182,0.023354,0.017564,0.892459,-0.014439,0.074669,0.001149
8005.195475,-0.450038,0.022843,0.017003,0.892555,-0.017139,0.065434,-0.029557
8005.216210,-0.449815,0.022461,0.016596,0.892685,-0.010842,0.038517,-0.012776
8005.235427,-0.450037,0.022226,0.016251,0.892585,-0.017829,0.054359,0.056746
8005.255456,-0.450563,0.021768,0.015741,0.892340,-0.020867,0.062935,0.030187
8005.275518,-0.450665,0.021186,0.015246,0.892312,-0.006425,0.080120,-0.011671
8005.295457,-0.450630,0.020493,0.014858,0.892352,-0.004645,0.100167,0.000451
8005.315566,-0.450579,0.019789,0.014366,0.892401,-0.004801,0.064707,-0.016912
8005.335534,-0.450257,0.019198,0.014101,0.892581,0.000749,0.083902,-0.036689
8005.355460,-0.450086,0.018314,0.013480,0.892696,-0.020300,0.121336,-0.008030
8005.375439,-0.450046,0.017265,0.012691,0.892748,-0.021839,0.121344,0.001812
8005.395735,-0.450022,0.016459,0.012112,0.892783,-0.008211,0.067081,-0.004682
8005.415852,-0.449858,0.016100,0.011862,0.892876,0.002610,0.028150,-0.023707
8005.435436,-0.449740,0.015582,0.011665,0.892948,0.005678,0.103348,0.005669
8005.455511,-0.449895,0.014679,0.011022,0.892893,-0.021213,0.119766,0.009511
8005.475460,-0.449810,0.013788,0.010349,0.892958,-0.002256,0.081797,-0.013822
8005.495449,-0.449620,0.013141,0.009990,0.893067,-0.014697,0.071447,-0.007585
8005.515458,-0.449656,0.012424,0.009398,0.893066,-0.019717,0.074315,0.004653
8005.535375,-0.449444,0.011862,0.008869,0.893185,-0.025935,0.079730,-0.064334
8005.555384,-0.448708,0.011186,0.008175,0.893571,-0.029732,0.077182,-0.081011
8005.575454,-0.448163,0.010541,0.007688,0.893857,-0.013725,0.067634,-0.030936
8005.595403,-0.448198,0.009794,0.007239,0.893851,-0.009474,0.080276,0.042245
8005.615754,-0.448647,0.009352,0.006974,0.893633,-0.011417,0.059907,0.077107
8005.635464,-0.448930,0.009292,0.006791,0.893493,-0.015235,-0.003896,-0.017615
8005.655587,-0.448441,0.009410,0.006683,0.893738,-0.021354,-0.004988,-0.058445
8005.675440,-0.448048,0.009598,0.006524,0.893934,-0.026112,-0.016099,-0.015104
8005.695482,-0.448154,0.009767,0.006475,0.893880,-0.007456,-0.032848,0.016166
8005.715870,-0.448195,0.009965,0.006571,0.893856,-0.005761,-0.041632,0.002655
8005.737153,-0.448099,0.010257,0.006675,0.893900,-0.003035,-0.039529,-0.017298
8005.759784,-0.448099,0.010257,0.006675,0.893900,-0.003035,-0.039529,-0.017298
8005.775443,-0.447983,0.010522,0.006700,0.893955,-0.002293,-0.016264,0.008625
8005.795389,-0.447988,0.010483,0.006790,0.893952,0.021402,-0.012607,-0.008554
8005.815492,-0.447874,0.010598,0.006809,0.894008,0.000495,-0.004318,-0.011617
8005.835444,-0.447761,0.010746,0.006901,0.894062,0.004981,-0.015390,-0.010799
