t,q_left_hip_pitch_joint,q_left_hip_roll_joint,q_left_hip_yaw_joint,q_left_knee_joint,q_left_ankle_pitch_joint,q_left_ankle_roll_joint,q_right_hip_pitch_joint,q_right_hip_roll_joint,q_right_hip_yaw_joint,q_right_knee_joint,q_right_ankle_pitch_joint,q_right_ankle_roll_joint,q_waist_yaw_joint,q_waist_pitch_joint,q_waist_roll_joint,q_left_shoulder_pitch_joint,q_left_shoulder_roll_joint,q_left_shoulder_yaw_joint,q_left_elbow_joint,q_left_wrist_yaw_joint,q_left_wrist_pitch_joint,q_left_wrist_roll_joint,q_right_shoulder_pitch_joint,q_right_shoulder_roll_joint,q_right_shoulder_yaw_joint,q_right_elbow_joint,q_right_wrist_yaw_joint,q_right_wrist_pitch_joint,q_right_wrist_roll_joint,q_head_yaw_joint,q_head_pitch_joint
8003.935449,-0.197018,0.006615,-0.001246,0.735246,-0.488278,0.036527,-0.363452,0.011792,-0.012176,0.718756,-0.343319,-0.001822,-0.002972,-0.009152,-0.015883,0.218301,0.078328,-0.050717,-0.579741,-0.005081,0.012016,0.003242,0.229806,-0.065672,0.059154,-0.584726,0.010067,0.013542,-0.008965,-0.008389,0.000000
8003.955526,-0.197018,0.006807,-0.001246,0.727959,-0.480608,0.034610,-0.360577,0.011600,-0.012176,0.706100,-0.332390,-0.000671,-0.002972,-0.009152,-0.015883,0.218301,0.078328,-0.050717,-0.579741,-0.005081,0.012016,0.003242,0.229806,-0.065672,0.059154,-0.584726,0.010067,0.013542,-0.008965,-0.008389,0.000000
8003.975439,-0.197209,0.006807,-0.001246,0.716455,-0.468145,0.033267,-0.356741,0.010258,-0.012751,0.688076,-0.317433,0.001438,-0.000863,0.004529,-0.017159,0.204113,0.082163,-0.067206,-0.579741,-0.008341,0.014305,0.003242,0.224629,-0.071233,0.066440,-0.584726,0.010258,0.015068,-0.010109,-0.008964,0.000000
8003.995463,-0.198360,0.006807,-0.001438,0.709744,-0.461626,0.032884,-0.354249,0.009299,-0.013518,0.674846,-0.306696,0.003164,-0.000671,0.010374,-0.015796,0.199702,0.082163,-0.073342,-0.579741,-0.009108,0.015450,0.003242,0.222136,-0.073726,0.072000,-0.584918,0.010833,0.016594,-0.010490,-0.009252,0.000000
8004.016780,-0.200277,0.006040,-0.002013,0.702649,-0.454340,0.032692,-0.352906,0.008533,-0.013710,0.662191,-0.296533,0.005465,-0.000479,0.014080,-0.013599,0.197593,0.080629,-0.078520,-0.579741,-0.010450,0.016594,0.003242,0.220603,-0.075643,0.077177,-0.585493,0.011792,0.017357,-0.011253,-0.009444,0.000000
8004.035499,-0.202962,0.003547,-0.002205,0.692870,-0.446478,0.032692,-0.352715,0.005848,-0.013902,0.648002,-0.286562,0.009683,-0.000479,0.016359,-0.011218,0.197018,0.080245,-0.091558,-0.579741,-0.012559,0.017738,0.003242,0.220219,-0.077752,0.085614,-0.585685,0.012943,0.019264,-0.012016,-0.009540,0.000000
8004.055559,-0.204496,0.000863,-0.002205,0.685776,-0.439000,0.032692,-0.352523,0.002972,-0.013902,0.640140,-0.279468,0.013901,-0.000479,0.018354,-0.008827,0.197209,0.080245,-0.099036,-0.579741,-0.013518,0.019264,0.003242,0.220219,-0.078328,0.090791,-0.585685,0.013901,0.021172,-0.012398,-0.009635,0.000000
8004.075521,-0.204880,-0.002589,-0.002205,0.678298,-0.433248,0.032501,-0.352523,-0.000863,-0.013710,0.633429,-0.273908,0.018504,-0.001438,0.019851,-0.006185,0.197977,0.080245,-0.104405,-0.578973,-0.013902,0.021553,0.003624,0.220986,-0.078328,0.096735,-0.585685,0.014668,0.023079,-0.013542,-0.009731,0.000000
8004.096696,-0.205071,-0.005081,-0.002205,0.672929,-0.429605,0.032501,-0.352523,-0.003739,-0.013710,0.629019,-0.270648,0.020996,-0.002397,0.020992,-0.003457,0.198360,0.080054,-0.108624,-0.578398,-0.014477,0.023460,0.003624,0.222520,-0.078328,0.101337,-0.585685,0.015244,0.024223,-0.014305,-0.009731,0.000000
8004.115476,-0.205071,-0.009108,-0.002972,0.665834,-0.422894,0.032501,-0.352523,-0.008724,-0.014285,0.623267,-0.265854,0.024064,-0.003931,0.023066,0.001771,0.198360,0.080245,-0.115335,-0.578207,-0.015244,0.026512,0.003624,0.224246,-0.078328,0.109007,-0.585685,0.016010,0.026894,-0.016212,-0.009827,0.000000
8004.135525,-0.205071,-0.012367,-0.003931,0.659890,-0.418483,0.032117,-0.351756,-0.012176,-0.014669,0.619240,-0.262403,0.025598,-0.005081,0.023785,0.005800,0.198552,0.080821,-0.124922,-0.578015,-0.015819,0.028038,0.003624,0.224821,-0.078328,0.115527,-0.585685,0.016202,0.028419,-0.018120,-0.009827,0.000000
8004.155497,-0.204112,-0.015627,-0.004314,0.653371,-0.413690,0.031926,-0.351372,-0.015627,-0.014861,0.615406,-0.258951,0.027132,-0.006999,0.023864,0.009264,0.198552,0.081204,-0.130866,-0.578015,-0.016586,0.029945,0.003624,0.225012,-0.078328,0.121662,-0.585685,0.016969,0.029945,-0.019646,-0.009827,0.000000
8004.175503,-0.202578,-0.018695,-0.004506,0.646660,-0.406979,0.031734,-0.350797,-0.018887,-0.014861,0.611379,-0.255884,0.028666,-0.008533,0.023655,0.011438,0.198935,0.081396,-0.134317,-0.578015,-0.016970,0.031472,0.004005,0.224437,-0.077560,0.128181,-0.585685,0.017353,0.031854,-0.021172,-0.009827,0.000000
8004.195495,-0.200469,-0.021955,-0.004506,0.637647,-0.401226,0.031350,-0.350414,-0.022338,-0.015052,0.607543,-0.253007,0.030583,-0.010450,0.023441,0.011678,0.199127,0.081396,-0.137768,-0.577823,-0.016970,0.033380,0.004005,0.222903,-0.076602,0.136235,-0.585685,0.018120,0.033761,-0.022697,-0.009827,0.000000
