fwd,yaw,skate,swL,swR,still,graph,cmd
0.40855356782756436,-1.2989515727899696,0.1409847611115825,7,8,0.0,p500k,FWD 0.3
0.6201063544749739,-2.656123374600863,0.18846663782213327,10,11,0.0,p500k,FWD 0.5
0.8248751385462516,-2.3293172414716534,0.19296783919199814,14,12,0.0,p500k,FWD 0.8
1.2339338309108363,-1.321894034293189,0.7374227360348998,13,10,0.0,p500k,FWD 1.0
0.5573639168234574,-16.50437380918143,0.18202896544901048,9,11,0.0,p500k,FWD0.5+R arc0.4
0.5641290674471583,20.09531700034951,0.17266689938449334,9,8,0.0,p500k,FWD0.5+L arc0.4
0.5197002545238903,-18.071397115005965,0.16425827307406196,8,10,0.0,p500k,FWD0.5+R arc0.55
0.4730661198365392,23.347973091268265,0.15913868650480734,9,8,0.0,p500k,FWD0.5+L arc0.55
-0.027690274398992326,59.588714398685795,0.10319373505204264,0,0,16.0,p500k,TURN L 1.0
-0.004323344223281956,-48.41947581408125,0.10216736525558912,0,0,0.0,p500k,TURN R 1.0
0.28316468828548547,0.44534781352860753,0.3330633805400514,5,6,0.0,g1style,FWD 0.3
0.485963292824071,0.7105645090519987,0.38517046480954026,7,7,0.0,g1style,FWD 0.5
0.7780163058180775,-1.3665454676886024,0.35228718753486643,9,8,0.0,g1style,FWD 0.8
1.0384103371743831,-3.9537799637695423,0.5722542920469516,10,9,0.0,g1style,FWD 1.0
0.5418463391385159,-15.166917260769328,0.3150807410777191,8,7,0.0,g1style,FWD0.5+R arc0.4
0.48832796318929383,15.09399004618248,0.3958118168379367,7,9,0.0,g1style,FWD0.5+L arc0.4
0.5577257245360756,-17.279956872377078,0.4058876473056871,8,8,0.0,g1style,FWD0.5+R arc0.55
0.48190426468185676,19.470954473676358,0.3362533243183896,7,7,0.0,g1style,FWD0.5+L arc0.55
-0.009010360060355414,43.80803504005554,0.095677872375194,0,0,36.36363636363637,g1style,TURN L 1.0
-0.04465727722427414,-40.6769734296577,0.14846305690966735,1,0,0.0,g1style,TURN R 1.0
0.4190201036219985,1.6545313179790608,0.19138718459029416,9,8,0.0,stance,FWD 0.3
0.6195975898499613,-3.1032877166145005,0.16497076980405537,9,10,0.0,stance,FWD 0.5
0.9056384370158911,-0.7265417290557596,0.2942744741071989,12,13,0.0,stance,FWD 0.8
1.2557555282751343,-2.5496943222189428,0.7831813367880205,12,11,0.0,stance,FWD 1.0
0.5393235250224516,-14.168913993852325,0.16243969288933513,9,10,0.0,stance,FWD0.5+R arc0.4
0.5240590530838873,15.905417485379335,0.16028463484788003,9,9,0.0,stance,FWD0.5+L arc0.4
0.5079071278594676,-19.260298324882616,0.16044289243635154,9,10,0.0,stance,FWD0.5+R arc0.55
0.48257765526576213,22.572782975761452,0.16276247952689035,8,8,0.0,stance,FWD0.5+L arc0.55
-0.00563457748063875,53.73679883186602,0.09358132269844895,0,0,81.81818181818181,stance,TURN L 1.0
0.0002129252810604221,-49.05312042177898,0.10408746009206721,0,0,20.0,stance,TURN R 1.0
